id,items
1,Planning trips or vacations
2,Buying things for myself
3,Being at the beach
4,Doing artwork (painting/ sculpture/ drawing/ movie-making/ etc.)
5,Rock climbing or mountaineering
6,Reading the Scriptures or other sacred works
7,Playing golf
8,Taking part in military activities
9,Rearranging or redecorating my room or house
10,Going naked
11,Going to a sports event
12,Reading a “Do it Yourself” article
13,Doing a “Do it Yourself” project
14,Going to the races (horse/ car/ boat/ etc.)
15,Reading
16,Going to a bar/ tavern/ club/ etc.
17,Going to lectures or hearing speakers
18,Driving skillfully
19,Breathing clean air
20,Thinking up or arranging a song or music
21,Meditating
22,Boating (canoeing/ kayaking/ motor-boating/ sailing/ etc.)
23,Pleasing a friend or family member
24,Restoring antiques/ finishing furniture/ etc.
25,Watching TV
26,Talking to myself
27,Camping
28,Working in politics
29,Working on machines (cars/ bikes/ motorcycles/ tractors/ etc.)
30,Thinking about something good in the future
31,Playing cards
32,Completing a difficult task
33,Laughing
34,Solving a problem/ puzzle/ crossword/ etc.
35,Being at weddings/ baptisms/ confirmations/ etc.
36,Shaving
37,Having lunch with friends or associates
38,Playing tennis
39,Taking a shower
40,Driving long distances
41,Woodworking/ carpentry
42,Writing short stories/ novels/ plays/ or poetry
43,Being with animals
44,Riding in an airplane
45,Exploring (hiking away from known routes/ spelunking/ etc.)
46,Having a frank and open conversation
47,Singing in a group
48,Thinking about myself or my problems
49,Working on my job
50,Going to a party
51,Going to church functions (socials/ classes/ bazaars/ etc.)
52,Speaking a foreign language
53,Going to services/ civic/ or social club meetings
54,Going to a business meeting or a convention
55,Being in a sporty or expensive car
56,Playing a musical instrument
57,Making snacks
58,Skiing
59,Being helped
60,Combing or brushing my hair
61,Acting
62,Taking a nap
63,Being with friends
64,Canning/ freezing/ making preserves/ etc.
65,Making art
66,Solving a personal problem
67,Being in a city
68,Taking a bath
69,Singing to myself
70,Making food or crafts to sell or give away
71,Playing pool or billiards
72,Being with my grandchildren
73,Playing chess or checkers
74,Doing craft work (pottery/ jewelry/ leather/ beads/ weaving etc.)
75,Putting on makeup/ fixing my hair/ etc.
76,Designing or drafting
77,Visiting people who are sick/ shut in/ or in trouble
78,Cheering/ rooting
79,Bowling
80,Being popular at a gathering
81,Watching wild animals
82,Gardening/ landscaping/ or doing yard work
83,Reading essays or technical/ academic/ or professional literature
84,Wearing new clothes
85,Dancing
86,Sitting in the sun
87,Riding a motorcycle
88,Just sitting and thinking
89,Seeing good things happen to my family or friends
90,Going to a fair/ carnival/ circus/ zoo/ or
91,Talking about philosophy or religion
92,Planning or organizing something
93,Having a drink by myself
94,Listing to the sounds of nature
95,Dating
96,Having a lively talk
97,Racing in a car/ motorcycle/ boat/ etc.
98,Listening to the radio
99,Having friends come to visit
100,Playing in a sporting competition
101,Introducing people I think would like each other
102,Giving gifts
103,Going to school or government meetings/ court sessions/ etc.
